Date,Service,Region,Amount,Unit
May-24,AWS CloudTrail,ap-northeast-1,0.0,USD
May-24,AWS CloudTrail,ap-northeast-2,0.0,USD
May-24,AWS CloudTrail,ap-northeast-3,0.0,USD
May-24,AWS CloudTrail,ap-south-1,0.0,USD
May-24,AWS CloudTrail,ap-southeast-1,0.0,USD
May-24,AWS CloudTrail,ap-southeast-2,0.0,USD
May-24,AWS CloudTrail,ap-southeast-3,0.0,USD
May-24,AWS CloudTrail,ca-central-1,0.0,USD
May-24,AWS CloudTrail,eu-central-1,0.0,USD
May-24,AWS CloudTrail,eu-north-1,0.0,USD
May-24,AWS CloudTrail,eu-west-1,0.0,USD
May-24,AWS CloudTrail,eu-west-2,0.0,USD
May-24,AWS CloudTrail,eu-west-3,0.0,USD
May-24,AWS CloudTrail,sa-east-1,0.0,USD
May-24,AWS CloudTrail,us-east-1,0.0,USD
May-24,AWS CloudTrail,us-east-2,0.0,USD
May-24,AWS CloudTrail,us-west-1,0.0,USD
May-24,AWS CloudTrail,us-west-2,0.0,USD
May-24,AWS CodeArtifact,ap-south-1,0.0,USD
May-24,AWS Cost Explorer,us-east-1,0.0,USD
May-24,AWS Data Transfer,ap-south-1,-8.4432e-05,USD
May-24,AWS Data Transfer,ap-southeast-1,-3.9636e-06,USD
May-24,AWS Data Transfer,eu-west-2,-0.0001120106,USD
May-24,AWS Data Transfer,us-east-1,-8.99876e-05,USD
May-24,AWS Data Transfer,us-east-2,-3.36e-08,USD
May-24,AWS Database Migration Service,ap-south-1,0.0,USD
May-24,AWS Glue,ap-southeast-2,0.0,USD
May-24,AWS Glue,eu-central-1,0.0,USD
May-24,AWS Glue,us-east-1,0.0,USD
May-24,AWS Key Management Service,ap-south-1,3e-08,USD
May-24,AWS Key Management Service,us-west-1,0.0,USD
May-24,AWS Migration Hub Refactor Spaces,ap-southeast-1,0.0,USD
May-24,AWS Migration Hub Refactor Spaces,eu-central-1,0.0,USD
May-24,AWS Migration Hub Refactor Spaces,eu-west-1,0.0,USD
May-24,AWS Migration Hub Refactor Spaces,sa-east-1,0.0,USD
May-24,AWS Secrets Manager,ap-northeast-1,0.0,USD
May-24,AWS Secrets Manager,ap-south-1,-2.56e-08,USD
May-24,AWS Secrets Manager,eu-west-3,0.0,USD
May-24,AWS Secrets Manager,us-east-1,2.56e-08,USD
May-24,AWS WAF,global,-3.84e-07,USD
May-24,Amazon DocumentDB (with MongoDB compatibility),us-east-1,-1.2e-09,USD
May-24,Amazon DynamoDB,us-east-2,0.0,USD
May-24,Amazon EC2 Container Registry (ECR),ap-south-1,4.8e-09,USD
May-24,Amazon EC2 Container Registry (ECR),us-east-1,0.0,USD
May-24,Amazon EC2 Container Registry (ECR),us-east-2,-1.6e-09,USD
May-24,EC2 - Other,ap-south-1,8.14578e-05,USD
May-24,EC2 - Other,ap-southeast-1,3.9638e-06,USD
May-24,EC2 - Other,us-east-1,7.74526e-05,USD
May-24,Amazon Elastic Compute Cloud - Compute,ap-south-1,0.0,USD
May-24,Amazon Elastic Compute Cloud - Compute,ap-southeast-1,-0.0,USD
May-24,Amazon Elastic Compute Cloud - Compute,us-east-1,0.0,USD
May-24,Amazon Elastic Container Service,us-east-1,9e-10,USD
May-24,Amazon Elastic Container Service,us-east-2,3.36e-08,USD
May-24,Amazon Elastic Load Balancing,ap-south-1,2.9504e-06,USD
May-24,Amazon Elastic Load Balancing,us-east-1,1.0134e-06,USD
May-24,Amazon Elastic Load Balancing,us-east-2,4e-10,USD
May-24,Amazon Location Service,ap-southeast-1,0.0,USD
May-24,Amazon Location Service,ca-central-1,0.0,USD
May-24,Amazon Location Service,us-east-1,0.0,USD
May-24,Amazon Relational Database Service,ap-south-1,1.3e-09,USD
May-24,Amazon Route 53,global,0.0,USD
May-24,Amazon Simple Notification Service,ap-south-1,0.0,USD
May-24,Amazon Simple Notification Service,eu-west-2,0.0,USD
May-24,Amazon Simple Notification Service,us-west-1,0.0,USD
May-24,Amazon Simple Queue Service,ap-south-1,0.0,USD
May-24,Amazon Simple Queue Service,ap-southeast-2,0.0,USD
May-24,Amazon Simple Queue Service,eu-north-1,0.0,USD
May-24,Amazon Simple Queue Service,us-east-1,0.0,USD
May-24,Amazon Simple Storage Service,ap-south-1,2.22e-08,USD
May-24,Amazon Simple Storage Service,eu-west-2,0.0001120106,USD
May-24,Amazon Simple Storage Service,us-east-1,1.15175e-05,USD
May-24,Amazon Virtual Private Cloud,ap-south-1,0.0,USD
May-24,Amazon Virtual Private Cloud,ap-southeast-1,0.0,USD
May-24,Amazon Virtual Private Cloud,us-east-1,0.0,USD
May-24,Amazon Virtual Private Cloud,us-east-2,0.0,USD
May-24,AmazonCloudWatch,ap-south-1,0.0,USD
May-24,AmazonCloudWatch,ap-southeast-2,0.0,USD
May-24,AmazonCloudWatch,us-east-1,0.0,USD
May-24,AmazonCloudWatch,us-east-2,0.0,USD
Total,,,-3.5489999999995827e-07,USD
