Instance Type,Market,vCPU,RAM (GiB),Storage,Price ($/h),Price ($/m),Price ($/y),Unit,Terms
c6g.4xlarge,ondemand,16,32.0,EBS only,0.544,391.68,4700.16,hrs,"OnDemand, Reserved"
r7gd.2xlarge,ondemand,8,64.0,1 x 475 NVMe SSD,0.5443,391.896,4702.752,hrs,"OnDemand, Reserved"
c6a.large,ondemand,2,4.0,EBS only,0.5565,400.68,4808.16,hrs,"OnDemand, Reserved"
c7i.large,ondemand,2,4.0,EBS only,0.56925,409.86,4918.32,hrs,"OnDemand, Reserved"
m7i-flex.large,ondemand,2,8.0,EBS only,0.57576,414.54720000000003,4974.566400000001,hrs,"OnDemand, Reserved"
m6i.large,ondemand,2,8.0,EBS only,0.576,414.71999999999997,4976.639999999999,hrs,"OnDemand, Reserved"
is4gen.xlarge,ondemand,4,24.0,1 x 3750 SSD,0.5763,414.93600000000004,4979.232,hrs,"OnDemand, Reserved"
c7g.4xlarge,ondemand,16,32.0,EBS only,0.5781,416.23199999999997,4994.784,hrs,"OnDemand, Reserved"
m5ad.large,ondemand,2,8.0,1 x 75 NVMe SSD,0.583,419.76,5037.12,hrs,"OnDemand, Reserved"
c5n.large,ondemand,2,5.25,EBS only,0.588,423.35999999999996,5080.32,hrs,"OnDemand, Reserved"
r5a.large,ondemand,2,16.0,EBS only,0.593,426.96,5123.5199999999995,hrs,"OnDemand, Reserved"
m5d.large,ondemand,2,8.0,1 x 75 NVMe SSD,0.593,426.96,5123.5199999999995,hrs,"OnDemand, Reserved"
c6in.large,ondemand,2,4.0,EBS only,0.5934,427.24800000000005,5126.976000000001,hrs,"OnDemand, Reserved"
m7a.2xlarge,ondemand,8,32.0,EBS only,0.59888,431.1936,5174.3232,hrs,"OnDemand, Reserved"
m5n.large,ondemand,2,8.0,EBS only,0.599,431.28,5175.36,hrs,"OnDemand, Reserved"
r5.large,ondemand,2,16.0,EBS only,0.606,436.32,5235.84,hrs,"OnDemand, Reserved"
r7a.2xlarge,ondemand,8,64.0,EBS only,0.6086,438.192,5258.304,hrs,"OnDemand, Reserved"
m5n.2xlarge,ondemand,8,32.0,EBS only,0.611,439.92,5279.04,hrs,"OnDemand, Reserved"
r5ad.large,ondemand,2,16.0,1 x 75 NVMe SSD,0.611,439.92,5279.04,hrs,"OnDemand, Reserved"
c6a.4xlarge,ondemand,16,32.0,EBS only,0.612,440.64,5287.68,hrs,"OnDemand, Reserved"
r4.large,ondemand,2,15.25,EBS only,0.613,441.36,5296.32,hrs,"OnDemand, Reserved"
c6gd.4xlarge,ondemand,16,32.0,1 x 950 NVMe SSD,0.6144,442.36799999999994,5308.415999999999,hrs,"OnDemand, Reserved"
c5a.4xlarge,ondemand,16,32.0,EBS only,0.616,443.52,5322.24,hrs,"OnDemand, Reserved"
m6g.4xlarge,ondemand,16,64.0,EBS only,0.616,443.52,5322.24,hrs,"OnDemand, Reserved"
i4g.2xlarge,ondemand,8,64.0,1 x 1875 SSD,0.61776,444.7872,5337.4464,hrs,"OnDemand, Reserved"
m6in.large,ondemand,2,8.0,EBS only,0.61923,445.8456,5350.147199999999,hrs,"OnDemand, Reserved"
r5n.large,ondemand,2,16.0,EBS only,0.629,452.88,5434.5599999999995,hrs,"OnDemand, Reserved"
r7a.large,ondemand,2,16.0,EBS only,0.63215,455.14799999999997,5461.776,hrs,"OnDemand, Reserved"
t3.xlarge,ondemand,4,16.0,EBS only,0.6464,465.40799999999996,5584.896,hrs,"OnDemand, Reserved"
m6a.xlarge,ondemand,4,16.0,EBS only,0.6528,470.016,5640.192,hrs,"OnDemand, Reserved"
m7g.4xlarge,ondemand,16,64.0,EBS only,0.6528,470.016,5640.192,hrs,"OnDemand, Reserved"
r4.2xlarge,ondemand,8,61.0,EBS only,0.6672,480.384,5764.608,hrs,"OnDemand, Reserved"
r5dn.2xlarge,ondemand,8,64.0,1 x 300 NVMe SSD,0.668,480.96000000000004,5771.52,hrs,"OnDemand, Reserved"
x2gd.2xlarge,ondemand,8,128.0,1 x 474 SSD,0.668,480.96000000000004,5771.52,hrs,"OnDemand, Reserved"
m5.xlarge,ondemand,4,16.0,EBS only,0.672,483.84000000000003,5806.08,hrs,"OnDemand, Reserved"
c5.4xlarge,ondemand,16,32.0,EBS only,0.68,489.6,5875.200000000001,hrs,"OnDemand, Reserved"
c4.xlarge,ondemand,4,7.5,EBS only,0.68,489.6,5875.200000000001,hrs,"OnDemand, Reserved"
m4.xlarge,ondemand,4,16.0,EBS only,0.68,489.6,5875.200000000001,hrs,"OnDemand, Reserved"
c7a.xlarge,ondemand,4,8.0,EBS only,0.68528,493.4016,5920.8192,hrs,"OnDemand, Reserved"
d2.xlarge,ondemand,4,30.5,3 x 2000 HDD,0.69,496.79999999999995,5961.599999999999,hrs,"OnDemand, Reserved"
c6gn.4xlarge,ondemand,16,32.0,EBS only,0.6912,497.66400000000004,5971.968000000001,hrs,"OnDemand, Reserved"
inf1.xlarge,ondemand,4,8.0,EBS only,0.708,509.76,6117.12,hrs,"OnDemand, Reserved"
r5d.2xlarge,ondemand,8,64.0,1 x 300 NVMe SSD,0.711,511.91999999999996,6143.039999999999,hrs,"OnDemand, Reserved"
m6gd.4xlarge,ondemand,16,64.0,1 x 950 NVMe SSD,0.7232,520.704,6248.447999999999,hrs,"OnDemand, Reserved"
c7gd.4xlarge,ondemand,16,32.0,1 x 950 NVMe SSD,0.7258,522.576,6270.912,hrs,"OnDemand, Reserved"
im4gn.2xlarge,ondemand,8,32.0,1 x 3750 SSD,0.72758,523.8576,6286.291200000001,hrs,"OnDemand, Reserved"
r5n.2xlarge,ondemand,8,64.0,EBS only,0.731,526.3199999999999,6315.839999999999,hrs,"OnDemand, Reserved"
z1d.2xlarge,ondemand,8,64.0,1 x 300 NVMe SSD,0.744,535.68,6428.16,hrs,"OnDemand, Reserved"
r7i.xlarge,ondemand,4,32.0,EBS only,0.7446,536.1120000000001,6433.344000000001,hrs,"OnDemand, Reserved"
g3s.xlarge,ondemand,4,30.5,EBS only,0.75,540.0,6480.0,hrs,"OnDemand, Reserved"
